translatedText,detectedSourceLanguage,input
Riferimento al rischio,de,Risiko-Referenz
tema del rischio,de,Risiko-Thema
Rischio ultimo aggiornamento,de,Risiko zuletzt aktualisiert
a partire dal,de,von
archiviato,de,archiviert
segna come fatto,de,als erledigt markieren
l�schen,en,löschen
Scegli cosa vuoi eliminare,de,"Wählen Sie aus, was Sie löschen möchten"
solo futuro,de,nur zukünftige
Tutti gli ordini,de,Alle Aufträge
Assegnato a,de,zugewiesen an
mostra tutti i dipendenti a cui � stato assegnato questo ordine,de,"zeigt alle Mitarbeiter, denen dieser Auftrag zugewiesen wurde"
cerca lavoro,de,Auftrag suchen
deve essere fatto da tutti,de,muss von allen erledigt werden
fatto in modo diverso,de,auf anderem Weg erledigt
gepr�ft,en,geprüft
Bilancio,en,Budget
categoria,de,Kategorie
Organizzazione,fr,Organisation
completato da,de,abgeschlossen durch
fatto,de,erledigt
fatto e controllato,de,erledigt & geprüft
fatto,de,erledigt
Data,de,Datum
fallig,ca,fällig
Generale,de,Allgemein
di larghe vedute,de,offen
in attesa / fatto,de,pendent / erledigt
non ancora finito,de,noch nicht abgeschlossen
riassegnato,de,neu zugewiesen
Osservazioni,de,Bemerkungen
nome del rapporto,de,Berichtsname
utente responsabile,de,verantwortlicher Benutzer
Gestione del rischio,da,Risiko-Management
Stato,en,Status
sottocategoria,de,Unterkategorie
Incarico,de,Auftrag
tipo di attivit�,de,Aufgaben-Typ
Addestramento,en,Training
Gestione del rischio,da,Risiko-Management
rischi,de,Risiken
ordini aperti,de,offene Aufträge
ricerca del rischio,de,Risiko Suche
Mostra il rischio per,de,Risiko anzeigen für
Ultimo aggiornamento il,de,Zuletzt aktualisiert am
sono,en,am
attraverso,de,durch
allocazione del rischio,de,Risiko Zuweisung
"Aggiungi, monitora e gestisci i rischi",de,"Risiken hinzufügen, überwachen und verwalten"
aggiungere rischio,de,Risiko hinzufügen
aggiungere il rischio identificato,de,identfiziertes Risiko hinzufügen
Informazione Generale,de,Allgemeine Informationen
Si prega di selezionare l&#39;oggetto del rischio,de,Bitte wählen Sie das Thema des Risikos aus
tema,de,Thema
riferimento,de,Referenz
Evento/sviluppo dei fattori ambientali,de,Ereignis / Entwicklung von Umweltfaktoren
Impatto / Rischio,de,Auswirkungen / Risiko
cause,de,Ursachen
Valutazione (opzionale),de,Bewertung (optional)
Puoi aggiungere il punteggio per questo rischio ora o in un secondo momento nella pagina dei dettagli del rischio,de,Sie können die Bewertung für dieses Risiko jetzt oder später auf der Seite mit den Risikodetails hinzufügen
Aggiungi valutazione,de,Bewertung hinzufügen
Aggiungi una recensione per,de,Bewertung hinzufügen für
Aggiorna la valutazione del rischio,de,Aktualisiere Risiko-Bewertung
Si prega di valutare questo rischio,de,Bitte bewerten Sie dieses Risiko
Impatto / Rischio,de,Auswirkungen / Risiko
probabilit�,de,Wahrscheinlichkeit
valutazione,de,Bewertung
valore obiettivo,de,Zielwert
scartare,de,verwerfen
hinzuf�gen,en,hinzufügen
insignificante,de,unbedeutend
piccola quantit�,de,gering
spürbar,en,spürbar
critico,de,kritisch
catastrofico,de,katastrophal
improbabile,de,unwahrscheinlich
molto rara,de,sehr selten
Rara,de,selten
möglich,en,möglich
spesso,de,häufig
ragionevole,de,vertretbar
condizionatamente giustificabile,de,bedingt vertretbar
non giustificabile,de,nicht vertretbar
valutazione del rischio,de,Risikobeurteilung
Visualizzazione della valutazione da,de,Anzeige der Bewertung vom
Dettagli,en,Details
recensioni,de,Bewertungen
3 soggetto?,de,3 Thema ?
Aggiungi ordine,de,Auftrag hinzufügen
prossimo ordine,de,nächster Auftrag
ordine precedente,de,vorheriger Auftrag
rischio precedente,de,vorheriges Risiko
prossimo rischio,fy,nächstes Risiko
aggiornato il,de,aktualisiert am
Aggiornato da,de,aktualisiert durch
Non c&#39;� ancora nessuna recensione,de,es liegt noch keine Bewertung vor
mostra tutte le valutazioni di questo rischio,de,zeigt alle Bewertungen dieses Risikos
salvare,de,speichern
Aggiornare,de,aktualisieren
rischio di aggiornamento,de,Risiko aktualisieren
Accumula il rischio,sl,Risiko akutalisieren
Nessuna valutazione trovata,de,Keine Bewertung gefunden
non � ancora disponibile una valutazione di questo rischio,de,es liegt noch keine Bewertung dieses Risikos vor
Nessun rischio trovato,de,Kein Risiko gefunden
di pi�,de,mehr
Übersicht,en,Übersicht
Numero di rischi identificati,de,Anzahl identifizierter Risiken
rischio rilasciato,de,Risiko freigegeben
rischio verificato,de,überprüftes Risiko
in sospeso,ca,pendent
Si prega di selezionare la categoria di rischio,de,Bitte Risiko-Kategorie auswählen
Nome della categoria,de,Kategoriename
Nome della sottocategoria,de,Name der Unterkategorie
"per favore, prima seleziona la categoria",de,"bitte, zuerst die Kategorie auswählen"
Osservazioni,de,Bemerkungen
Scegliere un&#39;opzione,de,Wählen Sie eine Option
Misure esistenti,de,Bestehende Massnahmen
Mappatura aggiunta,de,Zuordnung hinzugefügt
valore obiettivo,de,Zielwert
Procedere,de,Vorgehen
rischio di rilascio,de,Risiko freigeben
Scarica rapporto,de,Bericht herunterladen
Stato di rischio,jw,Risiko-Status
Approvato,de,freigegeben
Approvato,de,freigegeben
in sospeso,ca,pendent
individuato,de,Identifiziert
professionale,de,Fachkraft
proprietario del rischio,de,Risiko-Eigner
individuato,de,identifiziert
rischio non classificato,de,unbewertetes Risiko
ragionevole,de,vertretbar
condizionatamente giustificabile,de,bedingt vertretbar
misure pendenti,de,pendente Massnahmen
Rischi totali identificati,de,Total identifizierte Risiken
rischio rilasciato,de,Risiko freigegeben
Scarica il rapporto di riepilogo dei rischi,de,Risiko-Übersichtsbericht herunterladen
copia,de,kopieren
l�schen,en,löschen
rischio accettabile,de,vertretbares Risiko
rischio condizionalmente accettabile,de,bedingt vertretbares Risiko
rischio inaccettabile,de,nicht vertretbares Risiko
Totale rischi in sospeso,de,Total pendente Risiken
Rischi totali rilasciati,de,Total freigegebene Risiken
condizionatamente giustificabile,de,bedingt vertretbar
misure attuate,de,umgesetzte Massnahmen
Titolo dell&#39;attivit�,de,Titel der Aufgabe
Dettagli sul rischio,da,Risikodetails
Informazione,en,Information
aggiunto da,de,hinzugefügt von
completato da,de,abgeschlossen durch
rapporto sui rischi,de,Risikobericht
Nome Risiko,en,Risiko Name
categoria,de,Kategorie
sottocategoria,de,Unterkategorie
proprietario del rischio,de,Risiko-Eigner
professionale,de,Fachkraft
Stato,en,Status
Approvato,de,freigegeben
in sospeso,ca,pendent
valore di rischio attuale,de,aktueller Risikowert
misure attuate,de,umgesetzte Massnahmen
misure pendenti,de,pendente Massnahmen
obbiettivo,de,Ziel
Nessun obiettivo attuale,de,Kein aktuelles Ziel
Evento/sviluppo dei fattori ambientali,de,Ereignis / Entwicklung von Umweltfaktoren
nessun evento recente/nessuna variazione dei fattori ambientali,de,kein aktuelles Ereignis / keine Änderung der Umweltfaktoren
causa,de,Ursache
nessun problema,de,keine Ursachen
Impatto / Rischio,de,Auswirkungen / Risiko
nessuna conseguenza,de,keine Auswirkungen
Nome dell&#39;organizzazione,de,Name der Organisation
valutazione del rischio,de,Risikobeurteilung
Impatto / Rischio,de,Auswirkungen / Risiko
probabilit�,de,Wahrscheinlichkeit
valutazione,de,Bewertung
Valore di rischio,no,Risikowert
misure attuate,de,umgesetzte Massnahmen
nessuna azione in corso,de,keine aktuelle Massnahme
Misure previste,de,geplante Massnahmen
nessuna azione futura,de,keine zukünftigen Massnahmen
Osservazioni,de,Bemerkungen
Non ci sono commenti,de,keine Bemerkungen
Procedere,de,Vorgehen
persona responsabile,de,Verantwortliche Person
F�lligkeitsdatum,pt,Fälligkeitsdatum
Bilancio,en,Budget
Data di esportazione,sv,Export-Datum
evitare il rischio,de,Risiko vermeiden
ridurre il rischio,de,Risiko vermindern
monitorare il rischio,de,Risiko überwachen
accettare il rischio,de,Risiko akzeptieren
insignificante,de,unbedeutend
piccola quantit�,de,gering
spürbar,en,spürbar
critico,de,kritisch
catastrofico,de,katastrophal
improbabile,de,unwahrscheinlich
molto rara,de,sehr selten
Rara,de,selten
möglich,en,möglich
spesso,de,häufig
ragionevole,de,vertretbar
condizionatamente giustificabile,de,bedingt vertretbar
non giustificabile,de,nicht vertretbar
fatto,de,erledigt
attraverso,de,durch
Assegnato a,de,zugewiesen an
Risiko�bersichtsbericht,en,Risikoübersichtsbericht
rischio accettabile,de,vertretbares Risiko
rischio condizionalmente accettabile,de,bedingt vertretbares Risiko
rischio inaccettabile,de,nicht vertretbares Risiko
Rischi totali identificati,de,Total identifizierte Risiken
Totale rischi in sospeso,de,Total pendente Risiken
Rischi totali rilasciati,de,Total freigegebene Risiken
Ultimo aggiornamento il,de,Zuletzt aktualisiert am
Stato di rischio,jw,Risiko Status
individuato,de,identifiziert
in sospeso,ca,pendent
Approvato,de,freigegeben
economia,de,Wirtschaftlichkeit
4 soggetto,de,4 Thema
5 soggetto,de,5 Thema
Reputazione,en,Reputation
1 soggetto,de,1 Thema
la sicurezza del paziente,de,Patientensicherheit
2 soggetto,de,2 Thema
6 soggetto,de,6 Thema
3 soggetto,de,3 Thema
dipendenti,de,Mitarbeiter:innen
evitare il rischio,de,Risiko vermeiden
ridurre il rischio,de,Risiko vermindern
monitorare il rischio,de,Risiko überwachen
accettare il rischio,de,Risiko akzeptieren
Compito pianificato per,de,Aufgabe geplant für
Data d&#39;inizio,nl,Start Datum
nessun compito trovato,de,keine Aufgaben gefunden
data di fine,de,Ende Datum
Erf�llung,en,Erfüllung
Minimo,en,Minimum
Massimo,en,Maximum
visualizzare tutte le attivit� scadute,de,alle überfälligen Aufgaben anzeigen
tema,de,Thema
eccellente,de,ausgezeichnet
cattivo,de,schlecht
Salva risposta,de,Antwort speichern
Si prega di indicare il grado di completamento di questo compito,de,Bitte geben Sie den Erfüllungsgrad dieser Aufgabe an
compito successivo,de,nächste Aufgabe
compito precedente,de,vorherige Aufgabe
Rispondere,de,Antwort
Osservazioni,de,Bemerkungen
Seleziona il gruppo di test,de,Bittel wählen Sie die prüfende Gruppe aus
Visualizzazione dei membri del gruppo in esecuzione,de,Anzeige der ausführenden Gruppenmitglieder
utente controllato,de,kontrollierter Benutzer
Membro del gruppo di esame,de,Mitglied der prüfenden Gruppe
rispondere alla domanda,de,Frage beantworten
Si prega di controllare l&#39;attivit�,de,Bitte überprüfen Sie die Aufgabe
Data dell&#39;ultimo aggiornamento,de,Datum der letzten Aktualisierung
orario pianificato,de,vorgesehener Zeitpunkt
sottocategoria,de,Unterkategorie
abortire,de,abbrechen
Applicare filtri,de,Filter anwenden
Dettagli attivit�,de,Details zur Aufgabe
seleziona organizzazione,de,Organisation auswählen
Visualizza i compiti di,de,Anzeige der Aufgaben von
Tenere sotto controllo,en,Monitor
Addestramento,en,Training
compito di ricerca,de,Aufgabe suchen
Filtro,en,Filter
assegnare compito,de,Aufgabe zuweisen
Compiti di oggi,de,Heutige Aufgaben
Übersicht,en,Übersicht
assegnare,de,zuweisen
modificare e assegnare l&#39;attivit�,de,bearbeiten Sie die Aufgabe und weisen Sie sie zu
Configurazione attivit�,de,Aufgaben-Konfiguration
selezione del compito,de,Auswahl der Aufgabe
Seleziona l&#39;organizzazione.,de,Bitte wählen Sie die Organisation aus.
categoria,de,Kategorie
Nome della categoria,de,Kategoriename
Nome della sottocategoria,de,Name der Unterkategorie
livello di categoria,de,Kategorie Ebene
Organizzazione,fr,Organisation
Seleziona la categoria dell&#39;attivit�.,de,Bitte wählen Sie die Kategorie der Aufgabe aus.
Membri del gruppo di esame,de,Mitglieder der prüfenden Gruppe
gruppo esecutivo,de,ausführende Gruppe
L&#39;attivit� � accessibile a tutti i membri del gruppo di test; o,de,Die Aufgabe ist für alle Mitglieder der prüfenden Gruppe zugänglich; oder
Identificare la persona responsabile di questo compito,de,Bestimmen Sie die verantwortliche Person für diese Aufgabe
Seleziona dipendenti,de,Mitarbeiter auswählen
riportare alle condizioni originali,de,auf Standard zurücksetzen
Seleziona l&#39;argomento dell&#39;attivit�.,de,Bitte wählen Sie das Thema der Aufgabe aus.
lista di cose da fare,de,Aufgabenliste
Seleziona l&#39;elenco delle attivit� dallo sviluppatore,de,Bitte wählen Sie die Aufgabenliste aus dem Entwickler aus
Data di presentazione,de,Übermittlungsdatum
Contrassegna come attivit� ricorrente,de,Als wiederkehrende Aufgabe markieren
notifica,de,Benachrichtigung
Specifica come desideri essere informato su questa attivit�,de,"Bitte bestimmen Sie, wie Sie bei dieser Aufgabe informiert werden möchten"
Posta se l&#39;attivit� non � selezionata,de,Mail wenn Aufgabe nicht geprüft wird
Posta se grado di adempimento inferiore al 100%,de,Mail wenn Erfüllungsgrad unter 100%
Rimanda l&#39;attivit� incontrollata al giorno successivo,de,Nicht kontrollierte Aufgabe auf den nächsten Tag verschieben
Seleziona le attivit� che desideri assegnare,de,"Bitte wählen Sie die Aufgabe(n) aus, die Sie zuordnen möchten"
lista di cose da fare,de,Aufgabenliste
Ultimo aggiornamento il,de,Zuletzt aktualisiert am
compiti,de,Aufgaben
descrizione,de,Beschreibung
assegnare,de,zuweisen
zuck,en,zurück
non chste,pt,nächste
scartare,de,verwerfen
Si prega di indicare quando questa attivit� deve essere ripetuta,de,"Bitte geben Sie an, wann diese Aufgabe wiederholt werden soll"
intervallo,de,Intervall
ripeti tutto,de,Wiederholung alle
Data di fine attivit�,de,Enddatum der Aufgabe
Evita i fine settimana e i giorni festivi,de,Wochenenden & Feiertage vermeiden
evitare il fine settimana,de,Wochenende vermeiden
evitare le vacanze,de,Feiertage vermeiden
"se cade in un fine settimana o in un giorno festivo, posticipa l&#39;attivit� al giorno lavorativo successivo",de,"wenn auf Wochenende oder Feiertage fällt, Aufgabe auf den nächsten Arbeitstag verschieben"
"se cade in un giorno festivo, sposta l&#39;attivit� al giorno lavorativo successivo",de,"wenn auf Feiertag fällt, Aufgabe auf den nächsten Arbeitstag verschieben"
sposta l&#39;attivit� non selezionata al giorno successivo,de,ungeprüfte Aufgabe auf nächsten Tag verschieben
ripetere,de,Wiederholung Ein
Si prega di specificare il rispettivo giorno del mese per la ripetizione,de,Bitte legen Sie den jeweiligen Tag des Monats für die Wiederholung fest
Aggiungere altro,de,Weitere hinzufügen
ripetizione al giorno,de,Wiederholung am Tag
membri,de,Mitglieder
Attivit� creata correttamente,de,Aufgabe erfolgreich erstellt
Creazione attivit� non riuscita,de,Aufgabenerstellung fehlgeschlagen
L&#39;attivit� � stata creata,de,Aufgabe wurde erstellt
Programmazione dell&#39;attivit� selezionata in corso,de,Terminierung der ausgewählten Aufgabe in Arbeit
Si prega di selezionare l&#39;argomento,de,Bitte wählen Sie das Thema aus
Seleziona l&#39;organizzazione,de,Bitte wählen Sie die Organisation aus
Si prega di selezionare la categoria,de,Bitte wählen Sie die Kategorie aus
Compiti totali,de,Total gestellter Aufgaben
Erf�llungsgrad,en,Erfüllungsgrad
compiti controllati,de,überprüfte Aufgaben
Grado di completamento di tutti i compiti controllati,de,Erfüllungsgrad aller kontrollierten Aufgaben
Grado di completamento di tutti i compiti non controllati,de,Erfüllungsgrad aller unkontrollierten Aufgaben
compiti non controllati,de,nicht überprüfte Aufgaben
Compito svolto,de,Aufgabe erledigt
dipendente segnalante,de,meldender Mitarbeiter
Tutti,de,alle
compito controllato,de,kontrollierte Aufgabe
compiti rimanenti,de,verbleibende Aufgaben
scegliere un&#39;opzione,de,wählen Sie eine Option
ordina per,de,Sortieren nach
"Per favore, riferisci",de,Siehe
Tutti i compiti,de,alle Aufgaben
compiti selezionati,de,ausgewählte Aufgaben
Mostra tutto,de,Alle anzeigen
Notifica per email,de,E-Mail-Benachrichtigung
lista di cose da fare,de,Aufgabenliste
dettagli delle attivit�,de,Aufgaben Details
Posta se il livello di evasione � inferiore,de,Mail wenn Erfüllungsgrad unter
percentuale,de,Prozentsatz
Vuoi creare un&#39;altra attivit� con le stesse impostazioni?,de,Wollen Sie eine weitere Aufgabe mit den gleichen Einstellungen erstellen?
E,fi,Ja
No,de,Nein
Etichetta,en,Tag
giorni,de,Tage
non impostato,de,nicht gesetzt
� possibile rispondere all&#39;attivit� solo nella data pianificata,de,Aufgabe kann nur zum geplanten Termin beantwortet werden
Visualizzazione di tutte le attivit� selezionate,de,Anzeige aller ausgewählten Aufgaben
ultimo aggiornamento il,de,zuletzt aktualisiert am
übermittelt am,en,übermittelt am
Scegli una pianificazione per l&#39;attivit�,de,Bitte wählen Sie für die Aufgabe einen Zeitplan
Assegna un&#39;altra attivit�,de,Eine weitere Aufgabe zuweisen
sottocategoria,de,Unterkategorie
compito di aggiornamento,de,aktualisiere Aufgabe
Aggiornare,de,Aktualisierung
Configura e aggiorna l&#39;attivit� assegnata,de,Konfigurieren und aktualisieren Sie die zugewiesene Aufgabe
Ripetere,de,Wiederholen
tipo ripetuto,de,Wiederholungstyp
attivo,de,aktiv
download file,de,Datei herunterladen
Scarica rapporto,de,Bericht herunterladen
Report di monitoraggio del processo in corso,de,Prozess-Monitor Report in Arbeit
Elenco delle attivit� di monitoraggio del processo in corso,de,Prozess-Monitor Aufgaben Liste in Arbeit
Impossibile creare il rapporto di monitoraggio del processo,de,Erstellung Prozess-Monitor Report fehlgeschlagen
Impossibile creare l&#39;elenco delle attivit� di monitoraggio del processo,de,Erstellung Prozess-Monitor Aufgaben-Liste fehlgeschlagen
Scarica il rapporto di monitoraggio del processo,de,Herunterladen Prozess-Monitor Report
Scarica l&#39;elenco delle attivit�,de,Herunterladen Aufgaben-Liste
Questo campo � obbligatorio,de,Dieses Feld ist obligatorisch
compiti assegnati,de,zugewiesene Aufgaben
Grado di completamento di tutti i compiti,de,Erfüllungsgrad aller Aufgaben
Grado di completamento di tutti i compiti controllati,de,Erfüllungsgrad aller kontrollierten Aufgaben
compito incontrollato,de,unkontrollierte Aufgabe
Grado di completamento di tutti i compiti non controllati,de,Erfüllungsgrad aller unkontrollierten Aufgaben
Stato,en,Status
inattivo,sv,inaktiv
Data di inizio dell&#39;attivit�,de,Startdatum der Aufgabe
Seleziona utente,de,Benutzer auswählen
l�schen,en,löschen
Scegli cosa vuoi eliminare,de,"Wählen Sie aus, was Sie löschen möchten"
solo compiti futuri,de,nur zukünftige Aufgaben
categoria,de,Kategorie
Data,de,Datum
Data di fine,nl,End-Datum
Organizzazione,fr,Organisation
intervallo,de,Intervall
ripetizione,de,Wiederholung
nome del rapporto,de,Berichtsname
Responsabile,de,Verantwortlich
Data d&#39;inizio,nl,Start-Datum
Stato,en,Status
sottocategoria,de,Unterkategorie
compito,de,Aufgabe
categoria,de,Kategorie
Data,de,Datum
Organizzazione,fr,Organisation
sottocategoria,de,Unterkategorie
nome del rapporto,de,Berichtsname
compito,de,Aufgabe
Utente responsabile di questa attivit�,de,Für diese Aufgabe verantwortlicher Benutzer
Erf�llungsgrad,en,Erfüllungsgrad
osservazione,de,Bemerkung
Data e ora,de,Datum und Uhrzeit
persona valutatrice,de,begutachtende Person
percentuale,de,Prozentsatz
Addestramento,en,Training
Assegna modulo di formazione,de,Trainingsmodul zuweisen
Filtro,en,Filter
a partire dal,de,von
fatto,de,erledigt
trasmesso da,de,übermittelt durch
data di trasmissione,de,Übermttlungsdatum
nessun risultato trovato,de,kein Ergebnis gefunden
Devi ripetere di nuovo l&#39;allenamento.,de,Sie müssen das Training nochmals wiederholen.
formazione riuscita,de,Training erfolgreich
il risultato della tua formazione non � ancora disponibile - Avvia il modulo di formazione,de,es liegt noch kein Ergebnis Ihres Trainings vor - Starten Sie das Trainingsmodul
Inizio degli allenamenti,en,Start des Trainings
"Cerca la formazione per nome, cliente e argomento",de,"Training nach Name, Auftraggeber und Thema suchen"
Indicazione di trasmissione da parte di,de,Anzeige der Übermittlung durch
per questo modulo formativo,de,für dieses Trainingsmodul
Creare e gestire moduli di formazione,de,Erstellen und Verwalten von Trainingsmodulen
Mostra i moduli di formazione a te assegnati,de,Zeigen der Ihnen zugewiesenen Trainingsmodule
Assegna un modulo di formazione per la tua organizzazione,de,Trainingsmodul für Ihre Organisation zuweisen
Seleziona l&#39;argomento dell&#39;attivit�,de,Bitte Thema der Aufgabe auswählen
Seleziona l&#39;argomento del modulo di formazione,de,Bitte wählen Sie das Thema des Trainingsmoduls aus
tema,de,Thema
Si prega di selezionare l&#39;elenco delle attivit�,de,Bitte Aufgabenliste auswählen
fragile,pt,Frageliste
Si prega di selezionare prima l&#39;argomento,de,Bitte zuerst das Thema auswählen
gruppo di gestione,de,Management Gruppe
Assegnato a,de,zugewiesen an
"Modulo formativo accessibile a tutto il management, OR",de,"Trainingsmodul für die gesamte Leitung zugänglich, ODER"
"Il motore di addestramento � assegnato all&#39;intero gruppo di esecuzione, OR",de,"Trainingsmodul wird der gesamten Ausführungsgruppe zugewiesen, ODER"
Seleziona utente,de,Benutzer auswählen
Si prega di determinare la data di scadenza di questo modulo di formazione,de,Bitte bestimmen Sie das Fälligkeitsdatum dieses Trainingsmoduls
F�lligkeitsdatum,pt,Fälligkeitsdatum
creare,de,erstellen
scartare,de,verwerfen
zur�cksetzen,en,zurücksetzen
Partecipante,de,Teilnehmer
titolo,de,Titel
Creazione del modulo di formazione fallita,de,Erstellung Trainingsmodul fehlgeschlagen
La creazione del modulo di formazione ha avuto successo,de,Erstellen des Trainingsmoduls war erfolgreich
assegnato il,de,zugewiesen am
Organizzazione,fr,Organisation
Nome,en,Name
Seleziona l&#39;organizzazione,de,Bitte wählen Sie die Organisation aus
Stato,en,Status
attivo,de,aktiv
inattivo,sv,inaktiv
Aggiornamento dello stato riuscito,de,Status Update erfolgreich
Aggiornamento dello stato non riuscito,de,Status Update fehlgeschlagen
modificare,de,bearbeiten
per eseguire il backup,de,sichern
Aggiornamento del modulo di formazione non riuscito,de,Trainingsmodul Update fehlgeschlagen
Aggiornamento del modulo di formazione riuscito,de,Trainingsmodul Update erfolgreich
Modulo di formazione completato con successo il,de,Trainingsmodul erfolgreich abgeschlossen am
Tentativo,de,Versuche
sperimentare,de,Versuch
Erf�llt am,en,erfüllt am
erf�llt,en,erfüllt
non soddisfatto,de,nicht erfüllt
Mostra tutti i risultati dell&#39;allenamento per utente,de,Zeigt alle Trainingsergebnisse pro Benutzer
miglior risultato,de,Bestes Ergebnis
Modulo di formazione,en,Trainingsmodul
grado di adempimento richiesto,de,geforderter Erfüllungsgrad
Assegnato a,de,zugewiesen an
soddisfatto da,de,erfüllt durch
non ancora soddisfatto,de,noch nicht erfüllt
übermittelt,en,übermittelt
non ancora soddisfatto,de,noch nicht erfüllt
Modulo di formazione,en,Trainingsmodul
Seleziona il modulo di formazione,de,Bitte Trainigsmodul auswählen
di pi�,de,mehr
assegnato da,de,zugewiesen durch
non ancora iniziato,de,noch nicht gestartet
Aggiorna modulo di formazione,en,Update Trainingsmodul
Aggiorna il modulo di formazione per la tua organizzazione,de,Update Trainingsmodul für Ihre Organisation
abortire,de,abbrechen
Applicare filtri,de,Filter anwenden
risposta esatta,de,korrekte Antwort
risposta sbagliata,de,falsche Antwort
Erf�llungsgrad,en,Erfüllungsgrad
passaggio,de,Durchgang
Seleziona utente,de,Benutzer auswählen
Assegnato a,de,zugewiesen an
Partecipanti che hanno adempiuto,de,Teilnehmer die erfüllt haben
Non ancora soddisfatto,de,Noch nicht erfüllt
mostra tutti i dipendenti assegnati a questa attivit�,de,zeigt alle für diese Aufgabe vorgesehenen Mitarbeiter
mostra tutti i partecipanti a questa formazione,de,zeige alle Teilnehmer dieses Trainings
mostra tutti i partecipanti che hanno completato con successo la formazione,de,"zeige alle Teilnehmer, die das Training erfolgreich abgeschlossen haben"
mostra tutti i membri che non hanno completato questa formazione,de,"zeigt alle Mitglieder, die diese Schulung nicht abgeschlossen haben"
economia,de,Wirtschaftlichkeit
4 soggetto,de,4 Thema
5 soggetto,de,5 Thema
Reputazione,en,Reputation
1 soggetto,de,1 Thema
la sicurezza del paziente,de,Patientensicherheit
2 soggetto,de,2 Thema
6 soggetto,de,6 Thema
Reputazione,en,Reputation
dipendenti,de,Mitarbeiter:innen
Ultimo accesso,de,Letztes Login
Stato,en,Status
Tutti,de,alle
attivo,de,aktiv
inattivo,sv,inaktiv
"Filtra per organizzazione, ruolo, titolo e stato",de,"Filtern Sie nach Organisation, Rolle, Bezeichnung und Status"
certificato di competenza,de,Fähigkeitsausweis
Telefono,tr,Telefon
Telefono Gesch�ft,hu,Telefon Geschäft
Telefono privato,sv,Telefon Privat
numero GLN,de,GLN-Nummer
Numero ZSR,de,ZSR-Nummer
Numero K,da,K-Nummer
2...,en,2 ...
Aggiornare,de,aktualisieren
� amministratore,de,ist Admin
E-Mail ungültig,it,E-Mail ungültig
Numero di telefono non valido,sv,Telefon-Nummer ungültig
utente,de,Benutzer
Creare e gestire gli utenti per l&#39;organizzazione,de,Eröffnen und Verwalten von Benutzern für die Organisation
utente di ricerca,de,suche Benutzer
Filtro,en,Filter
Aggiungi utente,de,Benutzer hinzufügen
dati personali,de,Personalien
Informazione Generale,de,Allgemeine Informationen
Titolo accademico,de,Akademische Titel
Si prega di aggiungere le informazioni necessarie,de,Bitte notwendigen Informationen hinzufügen
carico di lavoro,de,Arbeitspensum
abilit�,de,Fähigkeiten
abilit�,de,Fähigkeiten
aggiungere abilit�,de,Fähigkeiten hinzufügen
descrizione,de,Beschreibung
specialit�,de,Spezialiät
Si prega di aggiungere le specialit� dell&#39;utente,de,Bitte Speizialitäten des Benutzers hinzufügen
saluto,de,Anrede
Data di nascita,de,Geburtsdatum
madrelingua,de,Muttersprache
madrelingua,de,Muttersprache
Nazionalit�t,en,Nationalität
altre lingue,de,andere Sprachen
Dettagli account,de,Kontodaten
Si prega di fornire le informazioni sull&#39;account richieste,de,Bitte geben Sie die erforderlichen Kontoinformationen an
Carica immagine,de,Bild hochladen
ruolo,de,Rolle
rotolo,de,Rollen
dati personali,de,Personalien
Info Bildgr�sse,en,Info Bildgrösse
nome di battesimo,de,Vorname
cognome,de,Nachname
mostra il nome,de,Name anzeigen
Organizzazione,fr,Organisation
designazione,de,Bezeichnung
E-Mail,it,E-Mail
l�schen,en,löschen
sistemarsi,de,abrechnen
per eseguire il backup,de,sichern
Telefono,tr,Telefon
Nome,en,Name
Telefono privato,sv,Telefon Privat
Telefono Gesch�ft,hu,Telefon Geschäft
Genere,de,Geschlecht
m�nnlich,vi,männlich
Femmina,de,weiblich
Numero K,da,K-Nummer
Numero,de,Anzahl
dettagli dell&#39;utente,de,Benutzer Details
mostra le informazioni sull&#39;utente,de,zeigt Benutzerinformationen
informazioni di base,de,Basis Informationen
Informazioni professionali,de,Berufliche Informationen
aggiornare l&#39;utente,de,Benutzer aktualisieren
titolo informativo,de,Informationen Titel
Priorität,it,Priorität
Osservazioni,de,Bemerkungen
aggiungi altre specialit�,de,mehr Spezialitäten hinzufügen
aggiungi pi� priorit�,de,mehr Prioritäten hinzufügen
Numero K,da,K-Nummer
aggiungere altro,de,mehr hinzufügen
certificati di idoneit�,de,Fähigkeitsausweise
data di adesione,de,Beitrittsdatum
Email gi� esistente,de,E-Mail existiert bereits
Numero interno,da,interne Nummer
Nome dell&#39;organizzazione,en,Organisationsname
parola d&#39;ordine,de,Passwort
linguaggio,de,Sprache
parola d&#39;ordine,de,Passwort
E-Mail,it,E-Mail
Priorität hinzufügen,it,Priorität hinzufügen
inserisci il titolo,de,Titel eingeben
inviare nuovamente l&#39;e-mail di attivazione,de,nochmaliges Versenden des Aktivierungs-E-Mails
invio di nuovo e-mail non riuscito,de,nochmaliges E-Mail-Versenden missglückt
Questo campo � obbligatorio,de,Dieses Feld ist obligatorisch
scartare,de,verwerfen
Applicare filtri,de,Filter anwenden
Elimina utente,de,Benutzer löschen
Sei sicuro di voler eliminare questo utente?,de,"Sind Sie sicher, dass Sie diesen Benutzer löschen möchten?"
modificare,de,bearbeiten
