translatedText,detectedSourceLanguage,input
"La commande est ouverte à toute la ligne, n&#39;est-ce pas",de,"Der Auftrag ist zugÃ¤nglich fÃ¼r die ganze Leitung, oder"
"Le travail est attribué à tous les membres du groupe d&#39;exécution, ou",de,"Der Auftrag ist allen Mitgliedern der ausfÃ¼hrenden Gruppe zugewiesen, oder"
"La commande est ouverte à toute la ligne, n&#39;est-ce pas",de,"Der Auftrag ist zugÃ¤nglich fÃ¼r die ganze Leitung, oder"
Titre,de,Titel
thème,de,Thema
Formation,en,Training
Module de formation,en,Trainingsmodul
Mis à jour par,de,aktualisiert durch
mis à jour le,de,aktualisiert am
voir pour,de,Ansicht fÃ¼r
Budget,en,Budget
Veuillez n&#39;entrer que des chiffres,de,Bitte nur Zahlen eingeben
Réaffecter la liste de commandes,de,Auftrags-Liste neu zuweisen
Efficace,no,Effektiv
Aucun risque trouvé,de,Kein Risiko gefunden
Aucun module de formation trouvé,de,Kein Trainingsmodul gefunden
Télécharger le rapport,de,Bericht herunterladen
La liste de commandes est en cours de création,de,Auftrags-Liste wird gerade erstellt
Télécharger la liste des commandes,de,Auftrags-Liste herunterladen
Échec de la génération de la liste de commandes,de,Generierung der Auftrags-Liste fehlgeschlagen
un administrateur,de,ein Admin
mise à jour de la commande,de,Auftrag aktualisieren
Modifier la commande,de,Auftrag editieren
Référence de tâche,de,Aufgaben-Referenz
Erfüllungsgrad,en,ErfÃ¼llungsgrad
Ã¶ffnen,en,Ã¶ffnen
risque,de,Risiko
fÃ¤llig,ca,fÃ¤llig
information,de,Informationen
Budget,en,Budget
Activer la tâche,de,Aufgabe aktivieren
désactiver la tâche,de,Aufgabe inaktivieren
Modifier la tâche,de,Aufgabe editieren
Détails de la tâche,de,Aufgaben-Details
Mesure,de,Massnahme
Référence des risques,de,Risiko-Referenz
thème du risque,de,Risiko-Thema
Dernière mise à jour du risque,de,Risiko zuletzt aktualisiert
depuis,de,von
archivé,de,archiviert
marque comme Terminé,de,als erledigt markieren
löschen,en,lÃ¶schen
Choisissez ce que vous voulez supprimer,de,"WÃ¤hlen Sie aus, was Sie lÃ¶schen mÃ¶chten"
futur seulement,de,nur zukÃ¼nftige
Tous les ordres,de,Alle AuftrÃ¤ge
Assigné à,de,zugewiesen an
affiche tous les employés auxquels cette commande a été attribuée,de,"zeigt alle Mitarbeiter, denen dieser Auftrag zugewiesen wurde"
recherche d&#39;emploi,de,Auftrag suchen
doit être fait par tout le monde,de,muss von allen erledigt werden
fait d&#39;une manière différente,de,auf anderem Weg erledigt
geprüft,en,geprÃ¼ft
Budget,en,Budget
Catégorie,de,Kategorie
Organisation,fr,Organisation
terminé par,de,abgeschlossen durch
Fini,de,erledigt
fait et vérifié,de,erledigt & geprÃ¼ft
Fini,de,erledigt
Date,de,Datum
fÃ¤llig,ca,fÃ¤llig
Général,de,Allgemein
ouvert d&#39;esprit,de,offen
en attente / terminé,de,pendent / erledigt
pas encore fini,de,noch nicht abgeschlossen
réaffecté,de,neu zugewiesen
Remarques,de,Bemerkungen
nom du rapport,de,Berichtsname
utilisateur responsable,de,verantwortlicher Benutzer
Gestion des risques,da,Risiko-Management
Statut,en,Status
sous-catégorie,de,Unterkategorie
mission,de,Auftrag
type de tâche,de,Aufgaben-Typ
Formation,en,Training
Gestion des risques,da,Risiko-Management
des risques,de,Risiken
commandes ouvertes,de,offene AuftrÃ¤ge
recherche de risque,de,Risiko Suche
Montrer le risque pour,de,Risiko anzeigen fÃ¼r
Dernière mise à jour le,de,Zuletzt aktualisiert am
un m,en,am
par,de,durch
répartition des risques,de,Risiko Zuweisung
"Ajouter, surveiller et gérer les risques",de,"Risiken hinzufÃ¼gen, Ã¼berwachen und verwalten"
ajouter un risque,de,Risiko hinzufÃ¼gen
ajouter un risque identifié,de,identfiziertes Risiko hinzufÃ¼gen
informations générales,de,Allgemeine Informationen
Veuillez sélectionner le sujet du risque,de,Bitte wÃ¤hlen Sie das Thema des Risikos aus
thème,de,Thema
référence,de,Referenz
Événement / évolution des facteurs environnementaux,de,Ereignis / Entwicklung von Umweltfaktoren
Impact / Risque,de,Auswirkungen / Risiko
causes,de,Ursachen
Note (facultatif),de,Bewertung (optional)
Vous pouvez ajouter le score pour ce risque maintenant ou plus tard sur la page des détails du risque,de,Sie kÃ¶nnen die Bewertung fÃ¼r dieses Risiko jetzt oder spÃ¤ter auf der Seite mit den Risikodetails hinzufÃ¼gen
Ajouter une note,de,Bewertung hinzufÃ¼gen
Ajouter un avis pour,de,Bewertung hinzufÃ¼gen fÃ¼r
Mettre à jour l&#39;évaluation des risques,de,Aktualisiere Risiko-Bewertung
Veuillez évaluer ce risque,de,Bitte bewerten Sie dieses Risiko
Impact / Risque,de,Auswirkungen / Risiko
probabilité,de,Wahrscheinlichkeit
évaluation,de,Bewertung
valeur cible,de,Zielwert
Jeter,de,verwerfen
hinzufügen,en,hinzufÃ¼gen
insignifiant,de,unbedeutend
petite quantité,de,gering
spÃ¼rbar,en,spÃ¼rbar
critique,de,kritisch
catastrophique,de,katastrophal
peu probable,de,unwahrscheinlich
très rare,de,sehr selten
Rare,de,selten
möglich,en,mÃ¶glich
souvent,de,hÃ¤ufig
raisonnable,de,vertretbar
justifiable sous condition,de,bedingt vertretbar
pas justifiable,de,nicht vertretbar
l&#39;évaluation des risques,de,Risikobeurteilung
Affichage de la note de,de,Anzeige der Bewertung vom
Des détails,en,Details
Commentaires,de,Bewertungen
3 sujet ?,de,3 Thema ?
Ajouter une commande,de,Auftrag hinzufÃ¼gen
prochaine commande,de,nÃ¤chster Auftrag
Commande précédente,de,vorheriger Auftrag
risque antérieur,de,vorheriges Risiko
prochain risque,fy,nÃ¤chstes Risiko
mis à jour le,de,aktualisiert am
Mis à jour par,de,aktualisiert durch
Il n&#39;y a pas encore d&#39;avis,de,es liegt noch keine Bewertung vor
montre toutes les évaluations de ce risque,de,zeigt alle Bewertungen dieses Risikos
sauver,de,speichern
Mettre à jour,de,aktualisieren
risque de mise à jour,de,Risiko aktualisieren
Accumulez le risque,sl,Risiko akutalisieren
Aucune évaluation trouvée,de,Keine Bewertung gefunden
aucune évaluation de ce risque n&#39;est encore disponible,de,es liegt noch keine Bewertung dieses Risikos vor
Aucun risque trouvé,de,Kein Risiko gefunden
Suite,de,mehr
Ãœbersicht,en,Ãœbersicht
Nombre de risques identifiés,de,Anzahl identifizierter Risiken
risque libéré,de,Risiko freigegeben
risque vérifié,de,Ã¼berprÃ¼ftes Risiko
en attendant,ca,pendent
Veuillez sélectionner la catégorie de risque,de,Bitte Risiko-Kategorie auswÃ¤hlen
Nom de catégorie,de,Kategoriename
Nom de la sous-catégorie,de,Name der Unterkategorie
"s&#39;il vous plaît, sélectionnez d&#39;abord la catégorie",de,"bitte, zuerst die Kategorie auswÃ¤hlen"
Remarques,de,Bemerkungen
Choisis une option,de,WÃ¤hlen Sie eine Option
Mesures existantes,de,Bestehende Massnahmen
Cartographie ajoutée,de,Zuordnung hinzugefÃ¼gt
valeur cible,de,Zielwert
Procéder,de,Vorgehen
risque de libération,de,Risiko freigeben
Télécharger le rapport,de,Bericht herunterladen
Statut de risque,jw,Risiko-Status
A approuvé,de,freigegeben
A approuvé,de,freigegeben
en attendant,ca,pendent
identifié,de,Identifiziert
professionnel,de,Fachkraft
propriétaire du risque,de,Risiko-Eigner
identifié,de,identifiziert
risque non évalué,de,unbewertetes Risiko
raisonnable,de,vertretbar
justifiable sous condition,de,bedingt vertretbar
mesures en attente,de,pendente Massnahmen
Total des risques identifiés,de,Total identifizierte Risiken
risque libéré,de,Risiko freigegeben
Télécharger le rapport de synthèse des risques,de,Risiko-Ãœbersichtsbericht herunterladen
copie,de,kopieren
löschen,en,lÃ¶schen
risque acceptable,de,vertretbares Risiko
risque conditionnellement acceptable,de,bedingt vertretbares Risiko
risque inacceptable,de,nicht vertretbares Risiko
Total des risques en attente,de,Total pendente Risiken
Total des risques libérés,de,Total freigegebene Risiken
justifiable sous condition,de,bedingt vertretbar
mesures mises en place,de,umgesetzte Massnahmen
Titre de la tâche,de,Titel der Aufgabe
Détails des risques,da,Risikodetails
Information,en,Information
ajouté par,de,hinzugefÃ¼gt von
terminé par,de,abgeschlossen durch
rapport de risque,de,Risikobericht
Nom Risiko,en,Risiko Name
Catégorie,de,Kategorie
sous-catégorie,de,Unterkategorie
propriétaire du risque,de,Risiko-Eigner
professionnel,de,Fachkraft
Statut,en,Status
A approuvé,de,freigegeben
en attendant,ca,pendent
valeur de risque actuelle,de,aktueller Risikowert
mesures mises en place,de,umgesetzte Massnahmen
mesures en attente,de,pendente Massnahmen
but,de,Ziel
Aucun objectif actuel,de,Kein aktuelles Ziel
Événement / évolution des facteurs environnementaux,de,Ereignis / Entwicklung von Umweltfaktoren
aucun événement récent / aucun changement dans les facteurs environnementaux,de,kein aktuelles Ereignis / keine Ã„nderung der Umweltfaktoren
cause,de,Ursache
aucun problème,de,keine Ursachen
Impact / Risque,de,Auswirkungen / Risiko
aucune conséquence,de,keine Auswirkungen
Nom de l&#39;organisation,de,Name der Organisation
l&#39;évaluation des risques,de,Risikobeurteilung
Impact / Risque,de,Auswirkungen / Risiko
probabilité,de,Wahrscheinlichkeit
évaluation,de,Bewertung
Valeur de risque,no,Risikowert
mesures mises en place,de,umgesetzte Massnahmen
aucune action en cours,de,keine aktuelle Massnahme
Mesures prévues,de,geplante Massnahmen
aucune action future,de,keine zukÃ¼nftigen Massnahmen
Remarques,de,Bemerkungen
Sans commentaires,de,keine Bemerkungen
Procéder,de,Vorgehen
responsable,de,Verantwortliche Person
Fälligkeitsdatum,pt,FÃ¤lligkeitsdatum
Budget,en,Budget
Date d&#39;exportation,sv,Export-Datum
éviter les risques,de,Risiko vermeiden
réduire le risque,de,Risiko vermindern
surveiller le risque,de,Risiko Ã¼berwachen
accepter le risque,de,Risiko akzeptieren
insignifiant,de,unbedeutend
petite quantité,de,gering
spÃ¼rbar,en,spÃ¼rbar
critique,de,kritisch
catastrophique,de,katastrophal
peu probable,de,unwahrscheinlich
très rare,de,sehr selten
Rare,de,selten
möglich,en,mÃ¶glich
souvent,de,hÃ¤ufig
raisonnable,de,vertretbar
justifiable sous condition,de,bedingt vertretbar
pas justifiable,de,nicht vertretbar
Fini,de,erledigt
par,de,durch
Assigné à,de,zugewiesen an
Risikoübersichtsbericht,en,RisikoÃ¼bersichtsbericht
risque acceptable,de,vertretbares Risiko
risque conditionnellement acceptable,de,bedingt vertretbares Risiko
risque inacceptable,de,nicht vertretbares Risiko
Total des risques identifiés,de,Total identifizierte Risiken
Total des risques en attente,de,Total pendente Risiken
Total des risques libérés,de,Total freigegebene Risiken
Dernière mise à jour le,de,Zuletzt aktualisiert am
Statut du risque,jw,Risiko Status
identifié,de,identifiziert
en attendant,ca,pendent
A approuvé,de,freigegeben
économie,de,Wirtschaftlichkeit
4 sujet,de,4 Thema
5 sujet,de,5 Thema
Réputation,en,Reputation
1 sujet,de,1 Thema
sécurité du patient,de,Patientensicherheit
2 sujet,de,2 Thema
6 sujet,de,6 Thema
3 sujet,de,3 Thema
employés,de,Mitarbeiter:innen
éviter les risques,de,Risiko vermeiden
réduire les risques,de,Risiko vermindern
surveiller le risque,de,Risiko Ã¼berwachen
accepter le risque,de,Risiko akzeptieren
Tâche prévue pour,de,Aufgabe geplant fÃ¼r
Date de début,nl,Start Datum
aucune tâche trouvée,de,keine Aufgaben gefunden
date de fin,de,Ende Datum
Erfüllung,en,ErfÃ¼llung
Le minimum,en,Minimum
Maximum,en,Maximum
afficher toutes les tâches en retard,de,alle Ã¼berfÃ¤lligen Aufgaben anzeigen
thème,de,Thema
excellent,de,ausgezeichnet
mal,de,schlecht
Enregistrer la réponse,de,Antwort speichern
Veuillez indiquer le degré d&#39;achèvement de cette tâche,de,Bitte geben Sie den ErfÃ¼llungsgrad dieser Aufgabe an
tâche suivante,de,nÃ¤chste Aufgabe
tâche précédente,de,vorherige Aufgabe
répondre,de,Antwort
Remarques,de,Bemerkungen
Veuillez sélectionner le groupe de test,de,Bittel wÃ¤hlen Sie die prÃ¼fende Gruppe aus
Affichage des membres du groupe d&#39;exécution,de,Anzeige der ausfÃ¼hrenden Gruppenmitglieder
utilisateur contrôlé,de,kontrollierter Benutzer
Membre du groupe examinateur,de,Mitglied der prÃ¼fenden Gruppe
répondez à la question,de,Frage beantworten
Veuillez vérifier la tâche,de,Bitte Ã¼berprÃ¼fen Sie die Aufgabe
Date de la dernière mise à jour,de,Datum der letzten Aktualisierung
heure prévue,de,vorgesehener Zeitpunkt
sous-catégorie,de,Unterkategorie
avorter,de,abbrechen
Appliquer des filtres,de,Filter anwenden
Détails de la tâche,de,Details zur Aufgabe
sélectionner l&#39;organisation,de,Organisation auswÃ¤hlen
Afficher les tâches de,de,Anzeige der Aufgaben von
Moniteur,en,Monitor
Formation,en,Training
tâche de recherche,de,Aufgabe suchen
Filtre,en,Filter
assigner une tâche,de,Aufgabe zuweisen
Tâches d&#39;aujourd&#39;hui,de,Heutige Aufgaben
Ãœbersicht,en,Ãœbersicht
assigner,de,zuweisen
modifier et attribuer la tâche,de,bearbeiten Sie die Aufgabe und weisen Sie sie zu
Configuration de la tâche,de,Aufgaben-Konfiguration
sélection de la tâche,de,Auswahl der Aufgabe
Veuillez sélectionner l&#39;organisation.,de,Bitte wÃ¤hlen Sie die Organisation aus.
Catégorie,de,Kategorie
Nom de catégorie,de,Kategoriename
Nom de la sous-catégorie,de,Name der Unterkategorie
niveau catégorie,de,Kategorie Ebene
Organisation,fr,Organisation
Veuillez sélectionner la catégorie de la tâche.,de,Bitte wÃ¤hlen Sie die Kategorie der Aufgabe aus.
Membres du groupe examinateur,de,Mitglieder der prÃ¼fenden Gruppe
groupe exécutif,de,ausfÃ¼hrende Gruppe
La tâche est accessible à tous les membres du groupe de test ; ou alors,de,Die Aufgabe ist fÃ¼r alle Mitglieder der prÃ¼fenden Gruppe zugÃ¤nglich; oder
Identifier la personne responsable de cette tâche,de,Bestimmen Sie die verantwortliche Person fÃ¼r diese Aufgabe
Sélectionnez les employés,de,Mitarbeiter auswÃ¤hlen
réinitialiser par défaut,de,auf Standard zurÃ¼cksetzen
Veuillez sélectionner le sujet de la tâche.,de,Bitte wÃ¤hlen Sie das Thema der Aufgabe aus.
liste de choses à faire,de,Aufgabenliste
Veuillez sélectionner la liste des tâches du développeur,de,Bitte wÃ¤hlen Sie die Aufgabenliste aus dem Entwickler aus
Date de soumission,de,Ãœbermittlungsdatum
Marquer comme tâche récurrente,de,Als wiederkehrende Aufgabe markieren
notification,de,Benachrichtigung
Veuillez préciser comment vous souhaitez être informé de cette tâche,de,"Bitte bestimmen Sie, wie Sie bei dieser Aufgabe informiert werden mÃ¶chten"
E-mail si la tâche n&#39;est pas cochée,de,Mail wenn Aufgabe nicht geprÃ¼ft wird
Mail si degré de réalisation inférieur à 100%,de,Mail wenn ErfÃ¼llungsgrad unter 100%
Reporter une tâche incontrôlée au jour suivant,de,Nicht kontrollierte Aufgabe auf den nÃ¤chsten Tag verschieben
Veuillez sélectionner la ou les tâches que vous souhaitez attribuer,de,"Bitte wÃ¤hlen Sie die Aufgabe(n) aus, die Sie zuordnen mÃ¶chten"
liste de choses à faire,de,Aufgabenliste
Dernière mise à jour le,de,Zuletzt aktualisiert am
Tâches,de,Aufgaben
la description,de,Beschreibung
assigner,de,zuweisen
zurück,en,zurÃ¼ck
pas chste,pt,nÃ¤chste
Jeter,de,verwerfen
Veuillez indiquer quand cette tâche doit être répétée,de,"Bitte geben Sie an, wann diese Aufgabe wiederholt werden soll"
intervalle,de,Intervall
répète tout,de,Wiederholung alle
Date de fin de tâche,de,Enddatum der Aufgabe
Eviter les week-ends et jours fériés,de,Wochenenden & Feiertage vermeiden
éviter le week-end,de,Wochenende vermeiden
éviter les vacances,de,Feiertage vermeiden
"s&#39;il tombe un week-end ou un jour férié, reporter la tâche au jour ouvrable suivant",de,"wenn auf Wochenende oder Feiertage fÃ¤llt, Aufgabe auf den nÃ¤chsten Arbeitstag verschieben"
"s&#39;il tombe un jour férié, déplacer la tâche au jour ouvrable suivant",de,"wenn auf Feiertag fÃ¤llt, Aufgabe auf den nÃ¤chsten Arbeitstag verschieben"
déplacer la tâche non cochée au jour suivant,de,ungeprÃ¼fte Aufgabe auf nÃ¤chsten Tag verschieben
répéter sur,de,Wiederholung Ein
Veuillez spécifier le jour du mois respectif pour la répétition,de,Bitte legen Sie den jeweiligen Tag des Monats fÃ¼r die Wiederholung fest
Ajouter plus,de,Weitere hinzufÃ¼gen
répétition par jour,de,Wiederholung am Tag
membres,de,Mitglieder
Tâche créée avec succès,de,Aufgabe erfolgreich erstellt
La création de la tâche a échoué,de,Aufgabenerstellung fehlgeschlagen
La tâche a été créée,de,Aufgabe wurde erstellt
Planification de la tâche sélectionnée en cours,de,Terminierung der ausgewÃ¤hlten Aufgabe in Arbeit
Veuillez sélectionner le sujet,de,Bitte wÃ¤hlen Sie das Thema aus
Veuillez sélectionner l&#39;organisation,de,Bitte wÃ¤hlen Sie die Organisation aus
Veuillez sélectionner la catégorie,de,Bitte wÃ¤hlen Sie die Kategorie aus
Tâches totales,de,Total gestellter Aufgaben
Erfüllungsgrad,en,ErfÃ¼llungsgrad
tâches cochées,de,Ã¼berprÃ¼fte Aufgaben
Degré d&#39;achèvement de toutes les tâches contrôlées,de,ErfÃ¼llungsgrad aller kontrollierten Aufgaben
Degré d&#39;achèvement de toutes les tâches non contrôlées,de,ErfÃ¼llungsgrad aller unkontrollierten Aufgaben
tâches non contrôlées,de,nicht Ã¼berprÃ¼fte Aufgaben
Tâche terminée,de,Aufgabe erledigt
employé déclarant,de,meldender Mitarbeiter
Tout le monde,de,alle
tâche contrôlée,de,kontrollierte Aufgabe
tâches restantes,de,verbleibende Aufgaben
choisis une option,de,wÃ¤hlen Sie eine Option
Trier par,de,Sortieren nach
Se il vous plaît se référer,de,Siehe
Toutes les tâches,de,alle Aufgaben
tâches sélectionnées,de,ausgewÃ¤hlte Aufgaben
Afficher tout,de,Alle anzeigen
Notification par e-mail,de,E-Mail-Benachrichtigung
liste de choses à faire,de,Aufgabenliste
détails des tâches,de,Aufgaben Details
Courrier si niveau de réalisation inférieur,de,Mail wenn ErfÃ¼llungsgrad unter
pourcentage,de,Prozentsatz
Voulez-vous créer une autre tâche avec les mêmes paramètres ?,de,Wollen Sie eine weitere Aufgabe mit den gleichen Einstellungen erstellen?
Et,fi,Ja
non,de,Nein
Étiqueter,en,Tag
jours,de,Tage
pas encore défini,de,nicht gesetzt
La tâche ne peut être répondue qu&#39;à la date prévue,de,Aufgabe kann nur zum geplanten Termin beantwortet werden
Affichage de toutes les tâches sélectionnées,de,Anzeige aller ausgewÃ¤hlten Aufgaben
Dernière mise à jour le,de,zuletzt aktualisiert am
übermittelt am,en,Ã¼bermittelt am
Veuillez choisir un horaire pour la tâche,de,Bitte wÃ¤hlen Sie fÃ¼r die Aufgabe einen Zeitplan
Attribuer une autre tâche,de,Eine weitere Aufgabe zuweisen
sous-catégorie,de,Unterkategorie
tâche de mise à jour,de,aktualisiere Aufgabe
Mise à jour,de,Aktualisierung
Configurer et mettre à jour la tâche assignée,de,Konfigurieren und aktualisieren Sie die zugewiesene Aufgabe
Répéter,de,Wiederholen
type de répétition,de,Wiederholungstyp
actif,de,aktiv
télécharger un fichier,de,Datei herunterladen
Télécharger le rapport,de,Bericht herunterladen
Rapport du moniteur de processus en cours,de,Prozess-Monitor Report in Arbeit
Liste des tâches du moniteur de processus en cours,de,Prozess-Monitor Aufgaben Liste in Arbeit
Échec de la création du rapport de surveillance des processus,de,Erstellung Prozess-Monitor Report fehlgeschlagen
Échec de la création de la liste des tâches du moniteur de processus,de,Erstellung Prozess-Monitor Aufgaben-Liste fehlgeschlagen
Télécharger le rapport du moniteur de processus,de,Herunterladen Prozess-Monitor Report
Télécharger la liste des tâches,de,Herunterladen Aufgaben-Liste
Ce champ est obligatoire,de,Dieses Feld ist obligatorisch
des tâches attribuées,de,zugewiesene Aufgaben
Degré d&#39;achèvement de toutes les tâches,de,ErfÃ¼llungsgrad aller Aufgaben
Degré d&#39;achèvement de toutes les tâches contrôlées,de,ErfÃ¼llungsgrad aller kontrollierten Aufgaben
tâche incontrôlée,de,unkontrollierte Aufgabe
Degré d&#39;achèvement de toutes les tâches non contrôlées,de,ErfÃ¼llungsgrad aller unkontrollierten Aufgaben
Statut,en,Status
inactif,sv,inaktiv
Date de début de la tâche,de,Startdatum der Aufgabe
Sélectionnez l&#39;utilisateur,de,Benutzer auswÃ¤hlen
löschen,en,lÃ¶schen
Choisissez ce que vous voulez supprimer,de,"WÃ¤hlen Sie aus, was Sie lÃ¶schen mÃ¶chten"
tâches futures uniquement,de,nur zukÃ¼nftige Aufgaben
Catégorie,de,Kategorie
Date,de,Datum
Date de fin,nl,End-Datum
Organisation,fr,Organisation
intervalle,de,Intervall
répétition,de,Wiederholung
nom du rapport,de,Berichtsname
Responsable,de,Verantwortlich
Date de début,nl,Start-Datum
Statut,en,Status
sous-catégorie,de,Unterkategorie
tâche,de,Aufgabe
Catégorie,de,Kategorie
Date,de,Datum
Organisation,fr,Organisation
sous-catégorie,de,Unterkategorie
nom du rapport,de,Berichtsname
tâche,de,Aufgabe
Utilisateur responsable de cette tâche,de,FÃ¼r diese Aufgabe verantwortlicher Benutzer
Erfüllungsgrad,en,ErfÃ¼llungsgrad
remarque,de,Bemerkung
Date et l&#39;heure,de,Datum und Uhrzeit
évaluer la personne,de,begutachtende Person
pourcentage,de,Prozentsatz
Formation,en,Training
Attribuer un module de formation,de,Trainingsmodul zuweisen
Filtre,en,Filter
depuis,de,von
Fini,de,erledigt
transmis par,de,Ã¼bermittelt durch
date de transmission,de,Ãœbermttlungsdatum
Aucun résultat trouvé,de,kein Ergebnis gefunden
Vous devez répéter l&#39;entraînement à nouveau.,de,Sie mÃ¼ssen das Training nochmals wiederholen.
formation réussie,de,Training erfolgreich
le résultat de votre formation n&#39;est pas encore disponible - Démarrer le module de formation,de,es liegt noch kein Ergebnis Ihres Trainings vor - Starten Sie das Trainingsmodul
Début des formations,en,Start des Trainings
"Rechercher une formation par nom, client et sujet",de,"Training nach Name, Auftraggeber und Thema suchen"
Indication de transmission par,de,Anzeige der Ãœbermittlung durch
pour ce module de formation,de,fÃ¼r dieses Trainingsmodul
Création et gestion de modules de formation,de,Erstellen und Verwalten von Trainingsmodulen
Affichage des modules de formation qui vous sont attribués,de,Zeigen der Ihnen zugewiesenen Trainingsmodule
Attribuez un module de formation à votre organisation,de,Trainingsmodul fÃ¼r Ihre Organisation zuweisen
Veuillez sélectionner le sujet de la tâche,de,Bitte Thema der Aufgabe auswÃ¤hlen
Veuillez sélectionner le sujet du module de formation,de,Bitte wÃ¤hlen Sie das Thema des Trainingsmoduls aus
thème,de,Thema
Veuillez sélectionner la liste des tâches,de,Bitte Aufgabenliste auswÃ¤hlen
fragile,pt,Frageliste
Veuillez d&#39;abord sélectionner le sujet,de,Bitte zuerst das Thema auswÃ¤hlen
groupe de gestion,de,Management Gruppe
Assigné à,de,zugewiesen an
"Module de formation accessible à l&#39;ensemble de la direction, OU",de,"Trainingsmodul fÃ¼r die gesamte Leitung zugÃ¤nglich, ODER"
"Le moteur de formation est affecté à l&#39;ensemble du groupe d&#39;exécution, OU",de,"Trainingsmodul wird der gesamten AusfÃ¼hrungsgruppe zugewiesen, ODER"
Sélectionnez l&#39;utilisateur,de,Benutzer auswÃ¤hlen
Veuillez déterminer la date d&#39;échéance de ce module de formation,de,Bitte bestimmen Sie das FÃ¤lligkeitsdatum dieses Trainingsmoduls
Fälligkeitsdatum,pt,FÃ¤lligkeitsdatum
créer,de,erstellen
Jeter,de,verwerfen
zurücksetzen,en,zurÃ¼cksetzen
Participant,de,Teilnehmer
Titre,de,Titel
La création du module de formation a échoué,de,Erstellung Trainingsmodul fehlgeschlagen
La création du module de formation a réussi,de,Erstellen des Trainingsmoduls war erfolgreich
attribué le,de,zugewiesen am
Organisation,fr,Organisation
Nom,en,Name
Veuillez sélectionner l&#39;organisation,de,Bitte wÃ¤hlen Sie die Organisation aus
Statut,en,Status
actif,de,aktiv
inactif,sv,inaktiv
Mise à jour du statut réussie,de,Status Update erfolgreich
Échec de la mise à jour du statut,de,Status Update fehlgeschlagen
éditer,de,bearbeiten
pour sauvegarder,de,sichern
La mise à jour du module de formation a échoué,de,Trainingsmodul Update fehlgeschlagen
Mise à jour du module de formation réussie,de,Trainingsmodul Update erfolgreich
Module de formation terminé avec succès le,de,Trainingsmodul erfolgreich abgeschlossen am
Essayer,de,Versuche
expérience,de,Versuch
erfüllt am,en,erfÃ¼llt am
erfüllt,en,erfÃ¼llt
pas rempli,de,nicht erfÃ¼llt
Affiche tous les résultats d&#39;entraînement par utilisateur,de,Zeigt alle Trainingsergebnisse pro Benutzer
meilleur résultat,de,Bestes Ergebnis
Module de formation,en,Trainingsmodul
degré de réalisation requis,de,geforderter ErfÃ¼llungsgrad
Assigné à,de,zugewiesen an
rempli par,de,erfÃ¼llt durch
pas encore réalisé,de,noch nicht erfÃ¼llt
übermittelt,en,Ã¼bermittelt
pas encore réalisé,de,noch nicht erfÃ¼llt
Module de formation,en,Trainingsmodul
Veuillez sélectionner le module de formation,de,Bitte Trainigsmodul auswÃ¤hlen
Suite,de,mehr
assigné par,de,zugewiesen durch
pas encore commencé,de,noch nicht gestartet
Mettre à jour le module de formation,en,Update Trainingsmodul
Mettre à jour le module de formation pour votre organisation,de,Update Trainingsmodul fÃ¼r Ihre Organisation
avorter,de,abbrechen
Appliquer des filtres,de,Filter anwenden
bonne réponse,de,korrekte Antwort
mauvaise réponse,de,falsche Antwort
Erfüllungsgrad,en,ErfÃ¼llungsgrad
passage,de,Durchgang
Sélectionnez l&#39;utilisateur,de,Benutzer auswÃ¤hlen
Assigné à,de,zugewiesen an
Les participants qui ont rempli,de,Teilnehmer die erfÃ¼llt haben
Pas encore rempli,de,Noch nicht erfÃ¼llt
affiche tous les employés affectés à cette tâche,de,zeigt alle fÃ¼r diese Aufgabe vorgesehenen Mitarbeiter
afficher tous les participants de cette formation,de,zeige alle Teilnehmer dieses Trainings
afficher tous les participants qui ont terminé avec succès la formation,de,"zeige alle Teilnehmer, die das Training erfolgreich abgeschlossen haben"
affiche tous les membres qui n&#39;ont pas suivi cette formation,de,"zeigt alle Mitglieder, die diese Schulung nicht abgeschlossen haben"
économie,de,Wirtschaftlichkeit
4 sujet,de,4 Thema
5 sujet,de,5 Thema
Réputation,en,Reputation
1 sujet,de,1 Thema
sécurité du patient,de,Patientensicherheit
2 sujet,de,2 Thema
6 sujet,de,6 Thema
Réputation,en,Reputation
employés,de,Mitarbeiter:innen
Dernière connexion,de,Letztes Login
Statut,en,Status
Tout le monde,de,alle
actif,de,aktiv
inactif,sv,inaktiv
"Filtrer par organisation, rôle, titre et statut",de,"Filtern Sie nach Organisation, Rolle, Bezeichnung und Status"
certificat de compétence,de,FÃ¤higkeitsausweis
Téléphoner,tr,Telefon
Téléphone Geschäft,hu,Telefon GeschÃ¤ft
Téléphone privé,sv,Telefon Privat
Numéro GLN,de,GLN-Nummer
Numéro ZSR,de,ZSR-Nummer
Numéro K,da,K-Nummer
2 ...,en,2 ...
Mettre à jour,de,aktualisieren
est administrateur,de,ist Admin
Envoyer un e-mail,it,E-Mail ungÃ¼ltig
Numéro de téléphone invalide,sv,Telefon-Nummer ungÃ¼ltig
utilisateur,de,Benutzer
Créer et gérer des utilisateurs pour l&#39;organisation,de,ErÃ¶ffnen und Verwalten von Benutzern fÃ¼r die Organisation
rechercher un utilisateur,de,suche Benutzer
Filtre,en,Filter
Ajouter un utilisateur,de,Benutzer hinzufÃ¼gen
détails personnels,de,Personalien
informations générales,de,Allgemeine Informationen
